,location,lat,lon,GHIs
74,USA_MN_Thief__River__AWOS__727555_TMY3,48.07,-96.18,"[147978, 176400, 188959, 151997, 122150, 790002]"
75,USA_AK_Sitka-Japonski__Island__AP__703710_TMY3,57.05,-135.37,"[125484, 135515, 129366, 120888, 75185, 588620]"
76,USA_IL_Belleville-Scott__AFB__724338_TMY3,38.55,-89.85,"[163507, 186622, 203929, 171905, 134022, 863034]"
77,USA_KS_Goodland-Renner__Field__724650_TMY3,39.37,-101.7,"[189923, 218209, 224999, 192081, 159562, 992369]"
78,USA_DE_Wilmington__724089_TMY2,39.67,-75.6,"[168568, 190166, 187070, 171692, 130391, 853123]"
79,USA_IA_Sioux__City-Sioux__Gateway__AP__725570_TMY3,42.38,-96.38,"[178216, 205389, 203816, 166936, 142044, 903768]"
80,USA_NY_New__York-Central__Park__725033_TMY3,40.78,-73.97,"[161864, 191667, 193025, 168346, 131297, 852128]"
81,USA_AK_Palmer__Muni__AP__702740_TMY3,61.6,-149.08,"[113367, 164006, 124255, 112773, 76933, 595305]"
82,USA_NJ_Teterboro__AP__725025_TMY3,40.85,-74.07,"[158256, 132406, 159996, 141754, 116473, 716343]"
83,USA_NM_Santa__Fe__County__Muni__AP__723656_TMY3,35.62,-106.08,"[226335, 232720, 218142, 205028, 180243, 1071294]"
84,USA_MI_Muskegon__County__AP__726360_TMY3,43.17,-86.23,"[188106, 195289, 190639, 159246, 123570, 864256]"
85,USA_TX_Fort__Hood__722570_TMY3,31.13,-97.72,"[199116, 197100, 208685, 191802, 169260, 974082]"
86,USA_NC_Asheville__Rgnl__AP__723150_TMY,35.43,-82.55,"[172077, 173117, 173373, 154715, 128309, 808105]"
87,USA_KS_Manhattan__Rgnl__AP__724555_TMY3,39.13,-96.67,"[181379, 183393, 172868, 194969, 123526, 858883]"
88,USA_WV_Bluefield-Mercer__County__AP__724125_TMY3,37.27,-81.24,"[162292, 175395, 156552, 155798, 115261, 769764]"
89,USA_IL_Rockford-Greater__Rockford__AP__725430_TMY3,42.2,-89.1,"[176948, 185907, 189096, 163866, 130214, 852911]"
90,USA_IA_Council__Bluffs__Muni__AP__725497_TMY3,41.27,-95.77,"[182880, 166780, 174398, 161958, 131908, 826032]"
91,USA_WI_La__Crosse__Muni__AP__726430_TMY,43.87,-91.25,"[153306, 190221, 183439, 160156, 114585, 809288]"
92,USA_MA_Norwood__Mem__AP__725098_TMY3,42.18,-71.18,"[130154, 145712, 157775, 161228, 112914, 714619]"
93,USA_CT_Hartford-Bradley__Intl__AP__725080_TMY,41.73,-72.65,"[158285, 159086, 167825, 138860, 108570, 738431]"
94,USA_NC_Cape__Hatteras__723040_TMY2,35.27,-75.55,"[188778, 194107, 193336, 175080, 144120, 902700]"
95,USA_MS_Jackson__Intl__AP__722350_TMY3,32.32,-90.08,"[172483, 189160, 193893, 186507, 148277, 894601]"
96,USA_AZ_Phoenix-Sky__Harbor__Intl__AP__722780_TMY,33.43,-112.02,"[255992, 248194, 237366, 223900, 192174, 1166405]"
97,USA_TX_Lufkin-Angelina__Co__AP__722446_TMY3,31.23,-94.75,"[175227, 191447, 200444, 185640, 153152, 911475]"
