,location,lat,lon,GHIs
428,USA_WI_Watertown__Muni__AP__726464_TMY3,43.17,-88.72,"[157149, 178347, 176354, 159885, 123367, 797945]"
429,USA_AZ_Tucson__722740_TMY2,32.12,-110.93,"[236947, 245028, 218663, 213322, 185887, 1107948]"
430,USA_OK_McAlester__Rgnl__AP__723566_TMY3,34.9,-95.78,"[189114, 197324, 224849, 190220, 162369, 968290]"
431,USA_MS_Greenville__Muni__AP__722356_TMY3,33.48,-90.98,"[188523, 186466, 219096, 191803, 151223, 940023]"
432,USA_IA_Mason__City__Muni__AP__725485_TMY3,43.15,-93.33,"[162400, 188688, 187563, 165431, 134293, 846030]"
433,USA_ME_Waterville__AWOS__726073_TMY3,44.53,-69.68,"[164168, 172112, 192736, 196642, 120055, 851860]"
434,USA_AL_Troy__Air__Field__722267_TMY3,31.87,-86.02,"[168827, 165656, 184033, 180155, 156949, 860106]"
435,USA_HI_Lihue__AP__911650_TMY,21.98,-159.35,"[176589, 175682, 180853, 178405, 165191, 884000]"
436,USA_NY_Islip-Long__Island__MacArthur__AP__725035_TMY3,40.78,-73.1,"[164155, 177506, 184221, 166492, 129266, 829088]"
437,USA_MN_Detroit__Lakes__AWOS__727457_TMY3,46.83,-95.88,"[157362, 182552, 197636, 175805, 130106, 846026]"
438,USA_VA_Sterling-Washington__Dulles__724030_TMY2,38.95,-77.45,"[168848, 188882, 183947, 165035, 133456, 845887]"
439,USA_MN_International__Falls__Intl__AP__727470_TMY,48.57,-93.38,"[168474, 178024, 191081, 160797, 102449, 807385]"
440,USA_HI_Lanai__AP__911905_TMY3,20.78,-156.95,"[187393, 184962, 201903, 181576, 161643, 924661]"
441,USA_CA_Bakersfield-Meadows__Field__723840_TMY3,35.43,-119.05,"[221476, 242307, 243186, 226335, 179410, 1121208]"
442,USA_MO_Rolla__National__AP__724456_TMY3,38.13,-91.77,"[131916, 177724, 160950, 165940, 117891, 758350]"
443,USA_LA_Fort__Polk__722390_TMY3,31.05,-93.18,"[154865, 167150, 197068, 177056, 154888, 858175]"
444,USA_IA_Fort__Dodge__AWOS__725490_TMY3,42.55,-94.18,"[148002, 191382, 206811, 176136, 125198, 849781]"
445,USA_WA_Snohomish__County__AP__727937_TMY3,47.9,-122.28,"[156035, 171155, 187070, 174415, 107216, 797648]"
446,USA_NE_Grand__Island-Central__Nebraska__Rgnl__AP__725520_TMY3,40.97,-98.32,"[183854, 212008, 205554, 183048, 142775, 930778]"
447,USA_NM_Roswell__Industrial__Air__Park__722680_TMY,33.3,-104.53,"[230493, 244654, 243437, 214624, 181736, 1123814]"
448,USA_NE_Omaha__725500_TMY2,41.37,-96.52,"[182393, 204582, 197611, 176181, 140500, 908794]"
449,USA_AK_Soldotna__702595_TMY3,60.47,-151.03,"[164721, 173311, 168793, 147734, 99673, 760555]"
450,USA_CO_Leadville-Lake__County__AP__724673_TMY3,39.22,-106.32,"[211950, 214754, 189909, 184964, 103178, 911567]"
451,USA_TX_Austin-Mueller__Muni__AP__722540_TMY,30.3,-97.7,"[174751, 196225, 208340, 187828, 151552, 924351]"
452,USA_MT_Cut__Bank__Muni__AP__727796_TMY,48.6,-112.37,"[180102, 191043, 227759, 187942, 127673, 916557]"
453,USA_VT_Rutland__State__AP__725165_TMY3,43.52,-72.95,"[154375, 212413, 179952, 170804, 110637, 835859]"
454,USA_MA_North__Adams__AP__725075_TMY3,42.7,-73.17,"[151771, 140989, 159499, 167726, 126310, 750236]"
455,USA_CA_Lompoc__AWOS__722895_TMY3,34.67,-120.47,"[208118, 151067, 202719, 169755, 153227, 892767]"
456,USA_AK_Talkeetna__702510_TMY2,62.3,-150.1,"[148854, 150624, 143471, 111845, 69382, 628290]"
457,USA_CA_Chino__AP__722899_TMY3,33.97,-117.63,"[203077, 231608, 230384, 213505, 139947, 1020812]"
458,USA_TN_Chattanooga-Lovell__Field__AP__723240_TMY3,35.03,-85.2,"[173677, 193444, 186933, 173740, 134846, 867310]"
459,USA_KS_Emporia__Muni__AP__724556_TMY3,38.33,-96.18,"[147542, 204087, 206967, 196343, 157021, 915334]"
460,USA_CA_San__Diego-Lindbergh__Field__722900_TMY3,32.73,-117.17,"[193563, 209027, 223183, 209750, 172851, 1014800]"
461,USA_NM_Tucumcari__AP__723676_TMY,35.18,-103.6,"[213127, 232663, 232963, 213739, 179113, 1079881]"
462,USA_NM_Albuquerque__723650_TMY2,35.05,-106.62,"[236978, 242656, 240746, 215730, 173840, 1117814]"
463,USA_IA_Ottumwa__Industrial__AP__725465_TMY3,41.1,-92.45,"[130022, 192426, 183905, 156381, 135018, 802841]"
464,USA_UT_Delta__Muni__AP__724795_TMY3,39.33,-112.58,"[174759, 235371, 242206, 214021, 167740, 1038863]"
465,USA_MN_Minneapolis-Crystal__AP__726575_TMY3,45.07,-93.35,"[161217, 144668, 122290, 142694, 121882, 700066]"
466,USA_FL_Daytona__Beach__Intl__AP__722056_TMY,29.18,-81.05,"[181142, 169374, 171572, 163636, 138657, 832046]"
467,USA_IA_Fort__Madison__Muni__AP__725483_TMY3,40.67,-91.33,"[163433, 187819, 204309, 164735, 139526, 864903]"
468,USA_ND_Devils__Lake__AWOS__727573_TMY3,48.12,-98.92,"[184181, 201379, 196662, 159884, 128059, 878144]"
469,USA_IA_Chariton__Muni__AP__725469_TMY3,41.03,-93.37,"[161631, 160099, 176225, 162832, 136789, 801709]"
470,USA_KS_Dodge__City__Rgnl__AP__724510_TMY,37.77,-99.97,"[194853, 221090, 225234, 206744, 163035, 1018871]"
471,USA_CA_San__Diego-Montgomery__Field__722903_TMY3,32.82,-117.13,"[201309, 208229, 224898, 209677, 172931, 1024333]"
472,USA_FL_Jacksonville-Craig__Field__722068_TMY3,30.33,-81.52,"[189304, 157023, 179586, 155735, 127591, 816057]"
473,USA_GA_Fort__Benning-Lawson__Field__722250_TMY3,32.35,-85.0,"[192631, 171162, 172722, 175085, 142504, 858594]"
474,USA_VA_Richmond__724010_TMY2,37.5,-77.33,"[175038, 184747, 187148, 163594, 138205, 853064]"
475,USA_ID_Pocatello__725780_TMY2,42.92,-112.6,"[186762, 208018, 229230, 201965, 147881, 982400]"
476,USA_CA_Napa__County__AP__724955_TMY3,38.22,-122.28,"[221898, 235146, 227014, 211746, 163844, 1067460]"
477,USA_FL_Fort__Myers-Page__Field__722106_TMY3,26.58,-81.87,"[191546, 176533, 174189, 175187, 133768, 857181]"
478,USA_MI_Detroit__Metro__AP__725370_TMY3,42.22,-83.35,"[179482, 184801, 187459, 160825, 123129, 842125]"
479,USA_TX_El__Paso__722700_TMY2,31.8,-106.4,"[232900, 247017, 232654, 207421, 182583, 1111477]"
480,USA_WA_Stampede__Pass__727815_TMY3,47.28,-121.33,"[181899, 190473, 217349, 183981, 94191, 875707]"
481,USA_IA_Boone__Muni__AP__725486_TMY3,42.05,-93.85,"[155539, 164369, 176094, 157786, 112056, 769943]"
482,USA_LA_New__Orleans__722315_TMY2,29.98,-90.25,"[183509, 187261, 185103, 167828, 143487, 874401]"
483,USA_WA_Yakima__Air__Terminal-McAllister__Field__727810_TMY,46.57,-120.53,"[187478, 215031, 228442, 196908, 141116, 973569]"
484,USA_AK_Gulkana__702710_TMY3,62.15,-145.45,"[159121, 141968, 145871, 118635, 74911, 646279]"
485,USA_AK_Annette__Island__AP__703980_TMY3,55.05,-131.57,"[128374, 152866, 139542, 130302, 71202, 626873]"
486,USA_AK_Kake__Seaplane__Base__703855_TMY3,56.97,-133.95,"[138200, 179833, 116894, 137627, 79311, 654365]"
487,USA_OK_Tulsa__723560_TMY2,36.2,-95.9,"[177734, 192954, 205077, 183389, 134246, 900141]"
488,USA_VA_Davison__AAF__724037_TMY3,38.72,-77.18,"[187924, 177548, 166826, 160530, 112130, 812621]"
489,USA_ID_Caldwell__AWOS__726813_TMY3,43.63,-116.63,"[208335, 226933, 248708, 224395, 151069, 1067807]"
490,USA_AK_Homer__AP__703410_TMY,59.65,-151.48,"[157621, 172926, 162678, 111951, 73421, 680589]"
491,USA_ID_Boise__Air__Terminal__726810_TMY3,43.62,-116.21,"[187214, 226658, 235991, 205626, 149835, 1013639]"
492,USA_KY_Jackson-Julian__Carroll__AP__724236_TMY3,37.58,-83.32,"[170632, 176432, 186398, 180757, 140509, 857583]"
493,USA_UT_Bryce__Canyon__AP__724756_TMY3,37.7,-112.15,"[218277, 233983, 205172, 209390, 171888, 1047752]"
494,USA_KS_Wichita__724500_TMY2,37.65,-97.42,"[183074, 201623, 212145, 194485, 145154, 942824]"
495,USA_SC_Florence__Rgnl__AP__723106_TMY3,34.18,-79.73,"[203171, 172012, 175338, 163906, 141541, 863995]"
496,USA_VA_Manassas__Muni__AWOS__724036_TMY3,38.72,-77.52,"[219240, 203884, 205204, 176575, 136586, 946356]"
497,USA_TX_Victoria__Rgnl__AP__722550_TMY3,28.87,-96.93,"[173685, 185225, 188946, 184204, 155654, 894226]"
498,USA_MN_Benson__Muni__AP__727507_TMY3,45.32,-95.65,"[131978, 172255, 193828, 183019, 129713, 813640]"
499,USA_NY_Albany__County__AP__725180_TMY3,42.75,-73.8,"[173131, 183390, 189535, 165578, 125082, 841601]"
500,USA_CA_San__Luis__Obispo__AP__722897_TMY3,35.23,-120.63,"[216281, 230837, 229225, 209071, 173984, 1067239]"
501,USA_WY_Gillette-Gillette__County__AP__726650_TMY3,44.35,-105.53,"[187970, 206717, 218908, 200444, 145632, 967115]"
502,USA_AR_Rogers__AWOS__723449_TMY3,36.37,-94.1,"[186213, 213718, 220198, 205436, 147742, 977427]"
503,USA_AZ_Show__Low__Muni__AP__723747_TMY3,34.27,-110.0,"[245950, 233214, 192722, 175902, 163241, 1019913]"
504,USA_MN_Minneapolis-St__Paul__726580_TMY2,44.88,-93.22,"[179386, 194985, 197007, 168899, 126371, 872002]"
505,USA_MO_Joplin__Muni__AP__723495_TMY3,37.15,-94.5,"[165736, 197669, 212882, 202782, 142325, 929083]"
506,USA_OH_Youngstown__725250_TMY2,41.27,-80.67,"[159189, 174613, 176805, 159832, 111936, 787726]"
507,USA_NV_Las__Vegas-McCarran__Intl__AP__723860_TMY,36.08,-115.17,"[250613, 263070, 249207, 231354, 195468, 1198413]"
508,USA_CA_China__Lake__NAF__746120_TMY,35.68,-117.68,"[242021, 260704, 257691, 235800, 190195, 1194704]"
509,USA_WI_Sturgeon__Bay-Door__County__AP__726458_TMY3,44.85,-87.42,"[176217, 165515, 193917, 153302, 113303, 809577]"
510,USA_CO_Eagle__County__Rgnl__AP__724675_TMY3,39.65,-106.92,"[186906, 226530, 208927, 184226, 156849, 970370]"
511,USA_VA_Petersburg__Muni__AP__724014_TMY3,37.18,-77.52,"[183610, 172473, 176070, 157667, 111893, 808521]"
512,USA_NE_Columbus__Muni__AP__725565_TMY3,41.45,-97.33,"[162266, 155589, 213726, 199980, 147769, 884070]"
513,USA_WV_Charleston-Yeager__AP__724140_TMY,38.37,-81.6,"[154941, 174413, 162805, 146912, 119915, 766544]"
514,USA_TX_Alice__Intl__AP__722517_TMY3,27.73,-98.03,"[182509, 190597, 212620, 192469, 170085, 955967]"
515,USA_NC_Raleigh-Durham__723060_TMY2,35.87,-78.78,"[174945, 191842, 186371, 173180, 143455, 876733]"
516,USA_MA_Marthas__Vineyard__AP__725066_TMY3,41.4,-70.62,"[138663, 126961, 164506, 173478, 111113, 722155]"
517,USA_AK_Big__Delta-Allen__AAF__702670_TMY3,64.0,-145.72,"[109022, 152625, 179263, 120441, 70021, 635620]"
518,USA_KY_Covington-Cincinnati__AP__724210_TMY2,39.07,-84.67,"[177260, 188173, 183888, 176566, 132995, 863036]"
519,USA_GA_Augusta-Bush-Field__722180_TMY3,33.37,-81.97,"[179367, 193482, 193650, 175344, 147364, 895321]"
520,USA_WY_Green__River-Greater__Green__River__Intergalactic__Spaceport__725744_TMY,41.6,-109.07,"[218640, 242051, 253390, 218715, 175460, 1116475]"
521,USA_IN_Fort__Wayne__725330_TMY2,41.0,-85.2,"[174945, 193161, 188878, 165522, 130123, 859300]"
522,USA_SD_Pierre__726686_TMY2,44.38,-100.28,"[182253, 208429, 211374, 181600, 139913, 929750]"
523,USA_TX_Palacios__Muni__AP__722555_TMY3,28.72,-96.25,"[144847, 161952, 193021, 161314, 144982, 812073]"
524,USA_WY_Sheridan__726660_TMY2,44.77,-106.97,"[169819, 202958, 209897, 187855, 140434, 917976]"
525,USA_AL_Tuscaloosa__Muni__AP__722286_TMY3,33.22,-87.62,"[138931, 201910, 174769, 165291, 123250, 811004]"
526,USA_NJ_Atlantic__City__724070_TMY2,39.45,-74.57,"[172553, 182787, 185070, 165342, 134642, 845395]"
527,USA_TX_Waco__Rgnl__AP__722560_TMY3,31.62,-97.23,"[180400, 202863, 218156, 202720, 156694, 967701]"
528,USA_IA_Fairfield__Muni__AP__726498_TMY3,41.05,-91.98,"[121634, 174363, 185329, 164740, 134803, 786060]"
529,USA_LA_Shreveport__Rgnl__AP__722480_TMY3,32.45,-93.82,"[176004, 193275, 198042, 187432, 151577, 913612]"
530,USA_NC_Greensboro-Piedmont__Triad__Intl__AP__723170_TMY3,36.1,-79.95,"[167545, 187527, 188581, 174054, 132813, 857694]"
531,USA_CA_Redding__Muni__AP__725920_TMY3,40.52,-122.32,"[193409, 237715, 243292, 223774, 166225, 1072406]"
532,USA_TX_Dallas-Love__Field__722583_TMY3,32.85,-96.85,"[199829, 185054, 210091, 205865, 149086, 957980]"
533,USA_TX_Marfa__AP__722640_TMY3,30.37,-104.02,"[235306, 230672, 229121, 212972, 180223, 1096802]"
534,USA_MN_Worthington__AWOS__726587_TMY3,43.65,-95.58,"[150355, 183856, 207962, 185025, 143853, 876607]"
535,USA_IA_Estherville__Muni__AP__726499_TMY3,43.4,-94.75,"[145954, 162610, 205426, 172011, 136617, 825078]"
536,USA_MN_Duluth__Intl__AP__727450_TMY,46.83,-92.18,"[150040, 166985, 178942, 147623, 99403, 745167]"
537,USA_AL_Montgomery__722260_TMY2,32.3,-86.4,"[186452, 187055, 188447, 179627, 152351, 900969]"
538,USA_TX_Abilene__Rgnl__AP__722660_TMY3,32.47,-99.71,"[196288, 208705, 220264, 200258, 159552, 993184]"
539,USA_SC_Columbia__Metro__AP__723100_TMY,33.95,-81.12,"[174495, 185960, 183322, 169148, 136382, 856650]"
540,USA_AK_Healy__River__AP__702647_TMY3,63.88,-149.02,"[106545, 138450, 103663, 72117, 63752, 488307]"
541,USA_TX_San__Antonio__Intl__AP__722530_TMY,29.53,-98.28,"[173898, 196757, 212624, 184711, 157406, 932892]"
542,USA_ND_Grand__Forks__AFB__727575_TMY3,47.97,-97.4,"[146812, 154978, 186343, 157131, 117876, 765276]"
543,USA_MA_Lawrence__Muni__AP__744904_TMY3,42.72,-71.12,"[137919, 175680, 159341, 138448, 120567, 739388]"
544,USA_IA_Cedar__Rapids__Muni__AP__725450_TMY3,41.88,-91.72,"[146930, 195358, 169930, 172831, 137691, 829907]"
545,USA_MI_Sault__Ste__Marie-Sanderson__Field__727340_TMY,46.47,-84.37,"[163429, 176615, 186713, 149794, 98425, 777217]"
546,USA_MN_International__Falls__727470_TMY2,48.57,-93.38,"[163046, 178423, 186677, 156272, 102295, 793269]"
547,USA_CA_Santa__Maria__Public__AP__723940_TMY3,34.92,-120.47,"[214562, 221262, 229645, 212524, 171332, 1057183]"
548,USA_KS_Newton__AWOS__724509_TMY3,38.05,-97.28,"[193902, 207446, 224217, 193288, 149814, 975991]"
549,USA_GA_Columbus__722255_TMY2,32.52,-84.95,"[186840, 182421, 186925, 177603, 147361, 887864]"
550,USA_NM_Tucumcari__723676_TMY2,35.18,-103.6,"[207730, 233806, 223954, 203023, 160234, 1036604]"
551,USA_FL_Vero__Beach__Muni__AP__722045_TMY3,27.65,-80.42,"[171915, 162484, 183210, 161693, 136535, 821180]"
552,USA_MI_Grand__Rapids__726350_TMY2,42.88,-85.52,"[174243, 192796, 194170, 165919, 118329, 851996]"
553,USA_CO_Grand__Junction-Walker__Field__724760_TMY3,39.13,-108.53,"[210361, 233372, 230941, 204249, 163055, 1050089]"
554,USA_SD_Rapid__City__Rgnl__AP__726620_TMY,44.05,-103.07,"[184187, 205085, 214856, 196343, 140861, 943257]"
555,USA_AK_Juneau__Intl__AP__703810_TMY,58.35,-134.58,"[124333, 131797, 117730, 97868, 52878, 531848]"
556,USA_MO_Kansas__City__Intl__AP__724460_TMY3,39.3,-94.72,"[179842, 197059, 199992, 182336, 144404, 911016]"
557,USA_OH_Findlay__AP__725366_TMY3,41.02,-83.67,"[140562, 168951, 172515, 153719, 109797, 747705]"
558,USA_MT_Billings__726770_TMY2,45.8,-108.53,"[182383, 198738, 219387, 185475, 138936, 929425]"
559,USA_CT_Bridgeport-Sikorsky__Mem__AP__725040_TMY3,41.18,-73.15,"[166480, 184004, 190350, 156591, 126910, 831876]"
560,USA_NE_Bellevue-Offutt__AFB__725540_TMY3,41.12,-95.92,"[182755, 185266, 195390, 168505, 134681, 874534]"
561,USA_CO_Colorado__Springs-Peterson__Field__724660_TMY,38.82,-104.72,"[202603, 221768, 212825, 197633, 168269, 1010319]"
562,USA_TX_Austin-Camp__Mabry__722544_TMY3,30.32,-97.77,"[176632, 199981, 209564, 196946, 156835, 946661]"
563,USA_MS_Meridian__NAS__722345_TMY3,32.55,-88.57,"[168045, 170723, 172571, 182423, 136540, 834644]"
564,USA_MI_Chippewa__County__Intl__AP__727344_TMY3,46.25,-84.47,"[145802, 164742, 181692, 153602, 96682, 744843]"
565,USA_MN_Fairmont__Muni__AWOS__726586_TMY3,43.65,-94.42,"[179037, 166352, 204121, 184290, 141313, 880964]"
566,USA_WI_Manitowac__Muni__AWOS__726455_TMY3,44.13,-87.68,"[156862, 147552, 197445, 153224, 124848, 784437]"
567,USA_CA_Palm__Springs-Thermal__AP__747187_TMY3,33.63,-116.17,"[237747, 249371, 238982, 222323, 183682, 1139695]"
568,USA_NJ_Caldwell-Essex__County__AP__724094_TMY3,40.88,-74.28,"[173702, 188457, 162194, 139810, 132644, 803108]"
569,USA_MO_Jefferson__City__Mem__AP__724458_TMY3,38.58,-92.15,"[159492, 210351, 212304, 183715, 139298, 913221]"
570,USA_AL_Maxwell__AFB__722265_TMY3,32.38,-86.35,"[182084, 169654, 179144, 170229, 148841, 857575]"
571,USA_TX_Georgetown__AWOS__722547_TMY3,30.68,-97.68,"[179433, 221735, 225877, 206019, 174298, 1014800]"
572,USA_NY_Saranac__Lake-Adirondack__Rgnl__AP__726228_TMY3,44.38,-74.2,"[123840, 186239, 169041, 154139, 105271, 746373]"
573,USA_AK_Fairbanks__Intl__AP__702610_TMY3,64.82,-147.85,"[158617, 169000, 158527, 121807, 66251, 681108]"
574,USA_NM_Clovis-Cannon__AFB__722686_TMY3,34.38,-103.32,"[216398, 239472, 229807, 204033, 183336, 1080723]"
575,USA_AK_Yakutat__State__AP__703610_TMY,59.52,-139.67,"[114956, 126289, 118168, 84196, 61096, 511008]"
576,USA_CA_Mount__Shasta__725957_TMY,41.33,-122.33,"[151515, 234701, 172803, 107523, 168999, 844105]"
577,USA_CO_Hayden-Yampa__AWOS__725715_TMY3,40.48,-107.22,"[206632, 223595, 224602, 190953, 158540, 1009982]"
578,USA_MN_Park__Rapids__Muni__AP__727453_TMY3,46.9,-95.07,"[161001, 152108, 161816, 147482, 101329, 727124]"
579,USA_FL_Jacksonville__Intl__AP__722060_TMY3,30.5,-81.7,"[186052, 175339, 188061, 161414, 140718, 858159]"
580,USA_AK_Whittier__702757_TMY3,60.77,-148.68,"[136039, 132654, 119763, 92056, 72846, 557951]"
581,USA_KS_Concordia-Blosser__Muni__AP__724580_TMY3,39.55,-97.65,"[169773, 191949, 209549, 171339, 145652, 895736]"
582,USA_FL_West__Palm__Beach__722030_TMY2,26.68,-80.1,"[175596, 169128, 181208, 172456, 147853, 851890]"
583,USA_TX_Port__Arthur-Jefferson__Co__AP__722410_TMY,29.95,-94.02,"[177471, 190916, 179457, 162097, 143656, 856979]"
584,USA_AK_King__Salmon__703260_TMY2,58.68,-156.65,"[136348, 138761, 134096, 103063, 72566, 588321]"
585,USA_CT_Hartford-Bradley__Intl__AP__725080_TMY3,41.93,-72.68,"[159901, 174563, 176947, 156310, 124618, 795918]"
586,USA_AK_Annette__Island__AP__703980_TMY,55.03,-131.57,"[146281, 137090, 130233, 112300, 76806, 604588]"
587,USA_FL_Tampa__Intl__AP__722110_TMY3,27.97,-82.53,"[204294, 190623, 185197, 176449, 150149, 914056]"
588,USA_MI_Flint-Bishop__Intl__AP__726370_TMY,42.97,-83.75,"[158302, 173232, 172414, 148971, 112034, 772710]"
589,USA_VA_Martinsville-Blue__Ridge__AP__745985_TMY3,36.63,-80.02,"[198751, 192257, 192455, 165343, 129304, 883031]"
590,USA_CO_Colorado__Springs__724660_TMY2,38.82,-104.72,"[187726, 209261, 201602, 189401, 157270, 951658]"
591,USA_MO_Columbia__Rgnl__AP__724450_TMY3,38.82,-92.22,"[177360, 204557, 199176, 177178, 145582, 910044]"
592,USA_CA_March__AFB__722860_TMY3,33.9,-117.25,"[221775, 243441, 235443, 222881, 176570, 1108528]"
593,USA_MI_Ann__Arbor__Muni__AP__725374_TMY3,42.22,-83.75,"[149216, 186774, 193806, 163196, 91184, 791206]"
594,USA_MO_Poplar__Bluff__AWOS__723300_TMY3,36.77,-90.47,"[178828, 187370, 210354, 173868, 138950, 893814]"
595,USA_CT_Hartford__725087_TMY2,41.93,-72.68,"[159901, 178763, 176947, 158083, 121134, 798419]"
596,USA_PA_Wilkes-Barre-Scranton__Intl__AP__725130_TMY3,41.33,-75.73,"[169270, 178535, 175419, 159330, 122015, 809636]"
597,USA_UT_Salt__Lake__City__Intl__AP__725720_TMY,40.78,-111.97,"[222274, 239271, 256846, 225510, 176233, 1123823]"
598,USA_MN_Duluth__Intl__AP__727450_TMY3,46.83,-92.22,"[177567, 182486, 179798, 154796, 111668, 810146]"
599,USA_NV_Reno__724880_TMY2,39.5,-119.78,"[206207, 230828, 245307, 218988, 179125, 1084001]"
600,USA_MS_Meridian-Key__Field__722340_TMY3,32.33,-88.75,"[173357, 181083, 173082, 180146, 135932, 846976]"
601,USA_AZ_Davis-Monthan__AFB__722745_TMY3,32.17,-110.88,"[237508, 250169, 210248, 193904, 153917, 1054289]"
602,USA_NE_Beatrice__Muni__AP__725515_TMY3,40.3,-96.75,"[182887, 191152, 205337, 197199, 135912, 920458]"
603,USA_AR_Jonesboro__Muni__AP__723407_TMY3,35.83,-90.65,"[161838, 203471, 198327, 198646, 148811, 918874]"
604,USA_VA_Leesburg__Muni__AP-Godfrey__Field__724055_TMY3,39.08,-77.57,"[128518, 162959, 201385, 168959, 126247, 794996]"
605,USA_FL_Sarasota-Bradenton__Intl__AP__722115_TMY3,27.38,-82.55,"[212874, 172741, 164729, 165223, 138780, 861043]"
606,USA_AK_Homer__AP__703410_TMY3,59.65,-151.48,"[123741, 154994, 128166, 124328, 63107, 598247]"
607,USA_FL_St__Petersburg-Albert__Whitted__Station__722104_TMY3,27.77,-82.63,"[192419, 168784, 172389, 174139, 169351, 884400]"
608,USA_NM_Taos__Muni__AP__723663_TMY3,36.45,-105.67,"[231050, 230732, 220101, 195268, 174959, 1060808]"
609,USA_SD_Ellsworth__AFB__726625_TMY3,44.15,-103.1,"[191500, 181536, 215407, 184206, 128981, 909818]"
610,USA_MA_Plymouth__Muni__AP__725064_TMY3,41.92,-70.73,"[152474, 148172, 163995, 145295, 118099, 734642]"
611,USA_SD_Mitchell__AWOS__726545_TMY3,43.77,-98.03,"[132306, 177115, 215225, 173403, 153496, 856918]"
612,USA_IL_Chicago-OHare__725300_TMY2,41.78,-87.75,"[177700, 188794, 197676, 160004, 125779, 857534]"
613,USA_AR_Little__Rock__723405_TMY2,34.73,-92.23,"[186509, 194485, 199982, 187801, 144312, 920312]"
614,USA_MS_Tupelo__Muni-C__D__Lemons__AP__723320_TMY3,34.27,-88.77,"[181099, 195272, 170738, 192700, 157733, 904025]"
615,USA_WA_Walla__Walla__City-County__AP__727846_TMY3,46.1,-118.28,"[175862, 215296, 229795, 189717, 129188, 947176]"
616,USA_NY_Syracuse-Hancock__Intl__AP__725190_TMY,43.12,-76.12,"[147162, 164226, 171720, 151868, 108236, 749847]"
617,USA_FL_Tallahassee__Rgnl__AP__722140_TMY,30.38,-84.37,"[178970, 178781, 172169, 169154, 140834, 846777]"
618,USA_CA_Long__Beach-Daugherty__Field__722970_TMY3,33.83,-118.17,"[194664, 211584, 226505, 206570, 163518, 1011181]"
619,USA_CA_Paso__Robles__Muni__AP__723965_TMY3,35.67,-120.63,"[236786, 246741, 244478, 226887, 182828, 1145853]"
620,USA_AL_Fort__Rucker-Cairns__Field__722269_TMY3,31.27,-85.72,"[134161, 175483, 177903, 169903, 147617, 810641]"
621,USA_FL_Orlando__Executive__AP__722053_TMY,28.55,-81.33,"[190371, 171499, 175292, 163330, 139765, 846721]"
622,USA_WV_Huntington-Tri__State__Walker__Long__Field__724250_TMY3,38.38,-82.55,"[167072, 182012, 183119, 157135, 131103, 825399]"
623,USA_MN_Brainerd-Crow__Wing__County__AP__726555_TMY3,46.4,-94.13,"[146180, 148905, 190553, 143182, 135642, 769959]"
624,USA_TX_Corpus__Christi__722510_TMY2,27.77,-97.5,"[167578, 183333, 192750, 182216, 151172, 882496]"
625,USA_VA_Norfolk__Intl__AP__723080_TMY3,36.9,-76.2,"[168696, 188283, 185746, 167155, 137037, 854495]"
626,USA_OR_Astoria__Rgnl__AP__727910_TMY3,46.15,-123.88,"[142262, 163504, 174458, 146466, 115611, 749197]"
627,USA_LA_Shreveport__722480_TMY2,32.47,-93.82,"[180213, 193275, 198116, 186402, 149642, 910326]"
628,USA_NM_Albuquerque__Intl__AP__723650_TMY,35.05,-106.62,"[246591, 250984, 242976, 225585, 184990, 1157022]"
629,USA_PA_Bradford__725266_TMY2,41.8,-78.63,"[164006, 180529, 183419, 154614, 117744, 804552]"
630,USA_AK_Fort__Yukon__701940_TMY3,66.57,-145.27,"[154894, 181722, 182845, 138510, 58033, 723241]"
631,USA_MN_Red__Wing__Muni__AP__726564_TMY3,44.58,-92.48,"[149763, 173662, 193267, 166008, 114373, 801697]"
632,USA_NV_Nellis__AFB__723865_TMY3,36.25,-115.03,"[233371, 246431, 232536, 207474, 172762, 1100866]"
633,USA_NY_Jamestown__AWOS__725235_TMY3,42.15,-79.27,"[134319, 162839, 192760, 164247, 120754, 783127]"
634,USA_NY_Monticello__AWOS__725145_TMY3,41.7,-74.8,"[133823, 185977, 201296, 154016, 113344, 790502]"
635,USA_WA_Seattle-Tacoma__Intl__AP__727930_TMY,47.45,-122.3,"[140116, 164519, 183659, 164130, 107193, 762724]"
636,USA_MS_Columbus__AFB__723306_TMY3,33.65,-88.45,"[175942, 185844, 197530, 178658, 148268, 894020]"
637,USA_DE_Wilmington-New__Castle__County__AP__724089_TMY,39.68,-75.6,"[160944, 176359, 181859, 160878, 126347, 808428]"
638,USA_PA_Philadelphia__Intl__AP__724080_TMY3,39.87,-75.23,"[167502, 187562, 177132, 174417, 130963, 845404]"
639,USA_MT_Miles__City__Muni__AP__742300_TMY3,46.43,-105.88,"[183261, 207185, 221119, 187796, 133979, 935641]"
640,USA_FL_Orlando-Sanford__AP__722057_TMY3,28.78,-81.25,"[200101, 175275, 193221, 189884, 183306, 949024]"
641,USA_NE_Omaha__WSFO__725530_TMY3,41.37,-96.02,"[184657, 197797, 197611, 173001, 141089, 896967]"
642,USA_WA_Fairchild__AFB__727855_TMY3,47.63,-117.65,"[146844, 166868, 241355, 191709, 142497, 897196]"
643,USA_NY_New__York__City-Central__Park__744860_TMY2,40.78,-73.97,"[166295, 189004, 188324, 167500, 131297, 850017]"
